beer_id,flavor_tag
c9c8c5af-1646-41e3-80b6-69bef5c328c4,sessionable
c9c8c5af-1646-41e3-80b6-69bef5c328c4,crisp
b341b7de-45e9-4699-99fb-7abd09c3f025,sessionable
03914dd1-1efd-44cf-b7cb-fcac495062bb,strong
03914dd1-1efd-44cf-b7cb-fcac495062bb,hoppy
c1b223fc-0e18-4532-9ae3-717d20f36197,strong
c1b223fc-0e18-4532-9ae3-717d20f36197,hoppy
c1b223fc-0e18-4532-9ae3-717d20f36197,boozy
10d166ff-2258-47a4-a1e1-8d671f5b0cfc,strong
10d166ff-2258-47a4-a1e1-8d671f5b0cfc,hoppy
9d08fb31-328f-4351-81cd-f516c3497748,strong
9d08fb31-328f-4351-81cd-f516c3497748,malty
6bdd26ad-b4f5-424a-8d0d-541c887565ed,sessionable
eb0db47f-44b8-4384-8307-b18faff507aa,sessionable
eb0db47f-44b8-4384-8307-b18faff507aa,malty
0504b99d-06bd-4daf-b349-c3e07fb12d09,sessionable
2a883fdf-0ddb-4ef6-a034-0367f7f884f6,strong
2a883fdf-0ddb-4ef6-a034-0367f7f884f6,hoppy
2a883fdf-0ddb-4ef6-a034-0367f7f884f6,boozy
e3d8c8f8-79b0-4ea5-b9ec-f1d10de048f9,strong
bd454f09-ea97-4091-94da-c954b66a3c72,strong
a7c4e8fd-f8cf-41f2-b661-7407a41bc305,sessionable
bc1f2365-2734-4c05-9654-91e4c523447c,strong
bc1f2365-2734-4c05-9654-91e4c523447c,hoppy
bc1f2365-2734-4c05-9654-91e4c523447c,spicy
c4a31e6f-96d5-4a41-9b13-c5d4fe618225,sessionable
fb4a67cb-6941-4e6a-9e7f-e1145bbc6d78,sessionable
77a9495c-7674-45a9-8b77-e800d8b49d9a,sessionable
684825aa-04cc-4e68-b609-9b2a8c78f770,sessionable
eccba843-5b06-4824-90bc-dd896597ccf0,sessionable
e318d613-1409-4d97-a45e-b2294286d0c9,strong
e318d613-1409-4d97-a45e-b2294286d0c9,malty
02265a77-4e33-47a2-a9a7-380a03de2823,strong
02265a77-4e33-47a2-a9a7-380a03de2823,sweet
d5366841-652c-4c1e-9a49-3c4095e1e931,strong
d5366841-652c-4c1e-9a49-3c4095e1e931,bitter
b622ca3e-4ad8-4713-8c27-185c5e33ca12,strong
b622ca3e-4ad8-4713-8c27-185c5e33ca12,winter
29acd279-05e2-4c7b-958b-5285832052aa,strong
29acd279-05e2-4c7b-958b-5285832052aa,malty
330d00fe-3d76-409b-a7f0-0a5b7376bd0f,sessionable
a7593b9f-c47b-40db-88e7-f764de8e1862,sessionable
a7593b9f-c47b-40db-88e7-f764de8e1862,smooth
a7593b9f-c47b-40db-88e7-f764de8e1862,fruity
7f9d284d-6401-4d13-b36e-e75736482e43,sessionable
7f9d284d-6401-4d13-b36e-e75736482e43,smooth
7f9d284d-6401-4d13-b36e-e75736482e43,fruity
09081250-dbe2-41b0-9650-9d099d0a6d87,sessionable
09081250-dbe2-41b0-9650-9d099d0a6d87,smooth
09081250-dbe2-41b0-9650-9d099d0a6d87,fruity
2a17916b-6d20-4521-a5c0-004e6e1c4fdd,strong
2a17916b-6d20-4521-a5c0-004e6e1c4fdd,bitter
2a17916b-6d20-4521-a5c0-004e6e1c4fdd,hoppy
fe644f65-aa9e-4c01-9782-5fc9d79bf2ed,strong
fe644f65-aa9e-4c01-9782-5fc9d79bf2ed,bitter
fe644f65-aa9e-4c01-9782-5fc9d79bf2ed,hoppy
565fc4b5-cb20-43c5-b786-e83b6d95a720,strong
565fc4b5-cb20-43c5-b786-e83b6d95a720,bitter
565fc4b5-cb20-43c5-b786-e83b6d95a720,hoppy
645a358d-8b1d-43e5-a5ee-e23f8e02e818,strong
81f619d0-35e3-4141-a284-0357d0e9d3b8,strong
81f619d0-35e3-4141-a284-0357d0e9d3b8,bitter
81f619d0-35e3-4141-a284-0357d0e9d3b8,hoppy
81f619d0-35e3-4141-a284-0357d0e9d3b8,boozy
92bdd6cb-c8a5-4215-b5d9-aff5cafde2c8,sessionable
b4aff95d-9c58-46a7-bed1-9a1a378f93ad,strong
b4aff95d-9c58-46a7-bed1-9a1a378f93ad,winter
a32643da-c9ac-4288-8440-75909cd40f70,sessionable
a32643da-c9ac-4288-8440-75909cd40f70,bitter
2a5c65a2-4656-4687-9ccf-be116f22f448,strong
2a5c65a2-4656-4687-9ccf-be116f22f448,spicy
746afa30-8bdb-4e0c-978a-d211d4b509a6,strong
746afa30-8bdb-4e0c-978a-d211d4b509a6,bitter
746afa30-8bdb-4e0c-978a-d211d4b509a6,hoppy
6e617e5b-f84c-4494-b25f-3528d369f92d,sessionable
6e617e5b-f84c-4494-b25f-3528d369f92d,smooth
6e617e5b-f84c-4494-b25f-3528d369f92d,fruity
a724fa62-4f43-4944-a347-198a7c852dfd,strong
a724fa62-4f43-4944-a347-198a7c852dfd,bitter
a724fa62-4f43-4944-a347-198a7c852dfd,hoppy
0b458c9d-4d7b-4665-929d-6db4680c61e6,sessionable
b109aba4-be70-4bbf-832e-c88a9c6f21c0,sessionable
3fb07b28-47a0-4d23-a4d6-5d9d22411926,light
3fb07b28-47a0-4d23-a4d6-5d9d22411926,smooth
3fb07b28-47a0-4d23-a4d6-5d9d22411926,refreshing
3fb07b28-47a0-4d23-a4d6-5d9d22411926,sour
006a548a-35c0-49ee-93e0-34716c46ea66,sessionable
006a548a-35c0-49ee-93e0-34716c46ea66,smooth
12b47250-fe93-4456-85f5-ecb9b923d937,sessionable
bc2dbd14-f689-4743-b8e6-d6274f5cb0af,sessionable
03b83b03-1e62-4289-8a13-dfcd4f2ad0fb,sessionable
00692e17-b65d-405a-9c50-97faa655f904,sessionable
00692e17-b65d-405a-9c50-97faa655f904,hoppy
11c6f44c-0615-4daa-9601-2bc9753e3202,sessionable
11c6f44c-0615-4daa-9601-2bc9753e3202,hoppy
0fcd62dd-7375-4f0f-8137-29ff789f4858,sessionable
0fcd62dd-7375-4f0f-8137-29ff789f4858,refreshing
b3f01f56-6567-4381-a95c-5e46a72f2e98,sessionable
b3f01f56-6567-4381-a95c-5e46a72f2e98,hoppy
94dd44f3-b3fa-4fff-8fb3-7e575919abab,sessionable
94dd44f3-b3fa-4fff-8fb3-7e575919abab,hoppy
7e203777-e52e-471e-bf7f-2ea4bb7daff2,strong
7e203777-e52e-471e-bf7f-2ea4bb7daff2,spicy
e765e93d-a312-4211-b585-42a07de6b20a,sessionable
e765e93d-a312-4211-b585-42a07de6b20a,bitter
