userId,beerId,overallEnjoyment,flavorTags,ratingProfile
a83b3492-959f-43c2-b280-45e279f29117,5e98cad8-e4cf-49e0-aa5f-8e001e89c6da,3,"['hoppy', 'strong', 'bitter']",neutral
a83b3492-959f-43c2-b280-45e279f29117,b84780ea-9d3c-4ea3-8a66-b7b3e871b5fb,5,['sessionable'],neutral
a83b3492-959f-43c2-b280-45e279f29117,1efb80cc-a7b1-4a2a-a54a-de7d3aeac4df,3,"['sessionable', 'smooth']",neutral
a83b3492-959f-43c2-b280-45e279f29117,2859d605-7edc-48c6-9f58-bf4feb504090,3,"['hoppy', 'strong', 'bitter']",neutral
a83b3492-959f-43c2-b280-45e279f29117,09372c0f-0c68-4aca-ab82-6f495c7dea6f,3,['sessionable'],neutral
a83b3492-959f-43c2-b280-45e279f29117,874ba5ee-395f-40ff-b073-c61d579eb8ce,5,['sessionable'],neutral
a83b3492-959f-43c2-b280-45e279f29117,576d4848-c815-45f1-b8d3-9d579a94d13b,4,"['sessionable', 'smooth']",neutral
a83b3492-959f-43c2-b280-45e279f29117,19e93003-ea95-4749-81bf-01d73ddcf498,4,"['strong', 'bitter']",neutral
a83b3492-959f-43c2-b280-45e279f29117,8553d0f3-f1fb-4da0-96a6-909536c86ee5,2,"['sessionable', 'smooth', 'refreshing']",neutral
a83b3492-959f-43c2-b280-45e279f29117,fccb0c25-b4f1-420d-8ed0-b68674f5f9fb,2,['strong'],neutral
a83b3492-959f-43c2-b280-45e279f29117,07d5b8b3-6afe-464a-ae88-78bcb82bdc1d,3,"['sessionable', 'hoppy', 'bitter']",neutral
a83b3492-959f-43c2-b280-45e279f29117,39c08df3-be3f-4b10-b376-90dc444c0425,4,"['sessionable', 'sweet']",neutral
a83b3492-959f-43c2-b280-45e279f29117,095c783e-19a3-4480-9463-6de75de78a15,4,['sessionable'],neutral
a83b3492-959f-43c2-b280-45e279f29117,109aaeb6-1240-4f88-89ec-4030d025b325,5,"['sessionable', 'smooth', 'refreshing']",neutral
a83b3492-959f-43c2-b280-45e279f29117,a4871133-2105-4318-b5d0-1b1de532d780,5,"['hoppy', 'boozy']",neutral
a83b3492-959f-43c2-b280-45e279f29117,4c1afb48-537f-49e2-ae57-d02bfdace6b7,4,"['sessionable', 'hoppy', 'bitter']",neutral
a83b3492-959f-43c2-b280-45e279f29117,031c2453-424c-4430-a150-c823cc20eb00,4,['sessionable'],neutral
a83b3492-959f-43c2-b280-45e279f29117,80fa6254-93b0-4c42-8e6f-02c32f7447ce,3,['sessionable'],neutral
a83b3492-959f-43c2-b280-45e279f29117,f5a5dd35-5a81-4050-941a-df72a508e48e,5,['sessionable'],neutral
