beer_id,flavor_tag
1c671025-ef50-47a5-bc07-1af5a4943ae4,sessionable
1c671025-ef50-47a5-bc07-1af5a4943ae4,crisp
f25ef122-65b4-4467-b052-3b803adc4fc4,sessionable
2907508c-3c3e-4216-b7a3-f754a63ce491,strong
2907508c-3c3e-4216-b7a3-f754a63ce491,hoppy
38f57209-cc94-4687-b770-7e7e9a220f8b,strong
38f57209-cc94-4687-b770-7e7e9a220f8b,hoppy
38f57209-cc94-4687-b770-7e7e9a220f8b,boozy
a006cbf8-86a7-4711-83ff-8f0bc78341f0,strong
a006cbf8-86a7-4711-83ff-8f0bc78341f0,hoppy
b3236b10-2364-4980-bc46-9ee6b2b23de4,strong
b3236b10-2364-4980-bc46-9ee6b2b23de4,malty
a6de64f6-0632-4055-9162-b2b8c3270da3,sessionable
143d62e6-5c8d-4618-aaf2-b30489a4ad10,sessionable
143d62e6-5c8d-4618-aaf2-b30489a4ad10,malty
4fd80aea-c0c7-4223-86dc-49c2f545e876,sessionable
ee04ee13-37c6-4d5e-8410-eb91fd675656,strong
ee04ee13-37c6-4d5e-8410-eb91fd675656,hoppy
ee04ee13-37c6-4d5e-8410-eb91fd675656,boozy
a29e4fb7-06b9-4e16-88da-ef2c971bbd8a,strong
fa0d5770-585c-48e0-9ad6-3bdb1029fda1,strong
99e2cd0c-9a34-4ee0-a56b-fd096e8fa8fd,sessionable
9f7a03a4-9a9c-4e55-aacc-57428ffb3299,strong
9f7a03a4-9a9c-4e55-aacc-57428ffb3299,hoppy
9f7a03a4-9a9c-4e55-aacc-57428ffb3299,spicy
b590c959-c221-4948-ab5e-3b5895747b84,sessionable
3dc2e745-5109-4b89-90e4-455713b3aebe,strong
3dc2e745-5109-4b89-90e4-455713b3aebe,malty
cf0301f5-fc6f-45d8-ab0e-9f6bf15e5640,strong
cf0301f5-fc6f-45d8-ab0e-9f6bf15e5640,sweet
2136c524-afb7-455f-a2d9-b5622ba79c28,strong
2136c524-afb7-455f-a2d9-b5622ba79c28,bitter
b5587505-8d19-43b0-988b-9477ee42e871,strong
b5587505-8d19-43b0-988b-9477ee42e871,winter
